age,income,risk_level,savings,investment_goal,recommended_circle
25,50000,3,10000,1,Growth
30,70000,2,20000,2,Balanced
45,90000,1,50000,3,Conservative
35,60000,4,15000,1,Aggressive
28,55000,3,12000,2,Growth
50,100000,1,80000,3,Conservative
40,85000,2,40000,2,Balanced
32,65000,4,18000,1,Aggressive
55,110000,1,90000,3,Conservative
38,75000,3,30000,2,Growth
42,95000,2,45000,2,Balanced
27,52000,4,8000,1,Aggressive
48,105000,1,70000,3,Conservative
33,68000,3,25000,2,Growth
36,72000,2,35000,2,Balanced
29,58000,4,13000,1,Aggressive
52,115000,1,85000,3,Conservative
31,63000,3,22000,2,Growth
44,88000,2,48000,2,Balanced
26,51000,4,9000,1,Aggressive
